"","code","idnum","pair","candidate","at.run","at.asso","at.press","at.presaut","at.vote","selected","woman","socideo","partyid","reg","trustfed","income.n","educ.n","polknow","vote.selling"
"96","10-3-2",10,3,2,"Citizens CAN run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CAN confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",0,1,4,2,1,1,9,6,0.941961676447963,1
"97","10-4-1",10,4,1,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",1,1,4,2,1,1,9,6,0.941961676447963,1
"98","10-4-2",10,4,2,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",0,1,4,2,1,1,9,6,0.941961676447963,1
"99","10-5-1",10,5,1,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CAN vote in the next two elections",0,1,4,2,1,1,9,6,0.941961676447963,1
"100","10-5-2",10,5,2,"Citizens CAN run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",1,1,4,2,1,1,9,6,0.941961676447963,1
"101","11-1-1",11,1,1,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",1,1,2,3,1,4,11,6,0.712203050955142,0
"102","11-1-2",11,1,2,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",0,1,2,3,1,4,11,6,0.712203050955142,0
"103","11-2-1",11,2,1,"Citizens CANNOT run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CAN confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",1,1,2,3,1,4,11,6,0.712203050955142,0
"104","11-2-2",11,2,2,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CAN confront the Government","President CAN rule without Congress","Citizens CANNOT vote in the next two elections",0,1,2,3,1,4,11,6,0.712203050955142,0
"105","11-3-1",11,3,1,"Citizens CAN run for office for the next two elections","Citizens CANNOT associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",1,1,2,3,1,4,11,6,0.712203050955142,0
"106","11-3-2",11,3,2,"Citizens CANNOT run for office for the next two elections","Citizens CAN associate with others and form groups","Media CANNOT confront the Government","President CANNOT rule without Congress","Citizens CAN vote in the next two elections",0,1,2,3,1,4,11,6,0.712203050955142,0
